run_id,message_id,image_name,detections_count,top_class,top_confidence,inference_started_at,inference_finished_at,inference_ms,payload_size_bytes,publish_started_at,publish_confirmed_at,subscriber_received_at,subscriber_ack_published_at,publisher_ack_received_at,publish_to_subscriber_ms,subscriber_ack_processing_ms,ack_return_ms,roundtrip_ms
steps-cloud-yolo-tailscale,1,000000.jpg,4,metalen_verpakking,0.9391,1776617196.686254,1776617198.605029,1918.78,726,1776617198.612926,1776617198.613333,1776617198.624603,1776617198.624639,1776617198.637091,11.68,0.04,12.45,24.16
steps-cloud-yolo-tailscale,2,000001.jpg,1,plastic_verpakking,0.9378,1776617198.645194,1776617198.812488,167.29,376,1776617198.813109,1776617198.813438,1776617198.824771,1776617198.824804,1776617198.83744,11.66,0.03,12.64,24.33
steps-cloud-yolo-tailscale,3,000002.jpg,1,plastic_verpakking,0.7975,1776617198.844908,1776617198.965341,120.43,377,1776617198.966203,1776617198.966528,1776617198.978135,1776617198.978164,1776617198.990737,11.93,0.03,12.57,24.53
steps-cloud-yolo-tailscale,4,000003.jpg,1,plastic_verpakking,0.935,1776617198.998368,1776617199.119422,121.05,372,1776617199.119932,1776617199.120236,1776617199.13192,1776617199.13195,1776617199.144835,11.99,0.03,12.88,24.9
steps-cloud-yolo-tailscale,5,000004.jpg,1,plastic_verpakking,0.8714,1776617199.151846,1776617199.266926,115.08,372,1776617199.267651,1776617199.267955,1776617199.279378,1776617199.279406,1776617199.291928,11.73,0.03,12.52,24.28
steps-cloud-yolo-tailscale,6,000005.jpg,1,plastic_verpakking,0.9639,1776617199.299894,1776617199.419833,119.94,374,1776617199.420368,1776617199.420708,1776617199.432198,1776617199.432229,1776617199.445233,11.83,0.03,13.0,24.87
steps-cloud-yolo-tailscale,7,000006.jpg,1,plastic_verpakking,0.8271,1776617199.452293,1776617199.581361,129.07,376,1776617199.582165,1776617199.582466,1776617199.594018,1776617199.59405,1776617199.606813,11.85,0.03,12.76,24.65
steps-cloud-yolo-tailscale,8,000007.jpg,2,plastic_verpakking,0.9495,1776617199.614079,1776617199.739734,125.65,496,1776617199.740412,1776617199.740715,1776617199.752331,1776617199.752369,1776617199.765196,11.92,0.04,12.83,24.78
steps-cloud-yolo-tailscale,9,000009.jpg,0,,,1776617199.772395,1776617199.894943,122.55,258,1776617199.895454,1776617199.895726,1776617199.907287,1776617199.907312,1776617199.92007,11.83,0.03,12.76,24.62
steps-cloud-yolo-tailscale,10,000010.jpg,8,plastic_verpakking,0.8824,1776617199.927552,1776617200.049121,121.57,1210,1776617200.050874,1776617200.051184,1776617200.062464,1776617200.062513,1776617200.074869,11.59,0.05,12.36,24.0
steps-cloud-yolo-tailscale,11,000011.jpg,2,plastic_verpakking,0.931,1776617200.082807,1776617200.194016,111.21,495,1776617200.194959,1776617200.195251,1776617200.206717,1776617200.206747,1776617200.219259,11.76,0.03,12.51,24.3
steps-cloud-yolo-tailscale,12,000012.jpg,3,plastic_verpakking,0.9272,1776617200.227079,1776617200.393085,166.01,614,1776617200.393909,1776617200.394183,1776617200.405538,1776617200.405572,1776617200.41819,11.63,0.03,12.62,24.28
steps-cloud-yolo-tailscale,13,000013.jpg,6,metalen_verpakking,0.9585,1776617200.425969,1776617200.544568,118.6,969,1776617200.546134,1776617200.546461,1776617200.557987,1776617200.558026,1776617200.570282,11.85,0.04,12.26,24.15
steps-cloud-yolo-tailscale,14,000014.jpg,1,plastic_verpakking,0.8622,1776617200.578354,1776617200.661649,83.3,376,1776617200.662158,1776617200.662457,1776617200.673803,1776617200.673833,1776617200.686731,11.64,0.03,12.9,24.57
steps-cloud-yolo-tailscale,15,000015.jpg,6,plastic_verpakking,0.9509,1776617200.694227,1776617200.799003,104.78,974,1776617200.801329,1776617200.801647,1776617200.813461,1776617200.813497,1776617200.826323,12.13,0.04,12.83,24.99
steps-cloud-yolo-tailscale,16,000017.jpg,3,plastic_verpakking,0.9515,1776617200.833469,1776617200.922467,89.0,613,1776617200.928902,1776617200.929205,1776617200.94054,1776617200.940569,1776617200.953032,11.64,0.03,12.46,24.13
steps-cloud-yolo-tailscale,17,000019.jpg,5,plastic_verpakking,0.9257,1776617200.960726,1776617201.018994,58.27,843,1776617201.020725,1776617201.021018,1776617201.032498,1776617201.032536,1776617201.045214,11.77,0.04,12.68,24.49
steps-cloud-yolo-tailscale,18,000020.jpg,3,metalen_verpakking,0.9745,1776617201.05255,1776617201.081169,28.62,612,1776617201.081694,1776617201.081977,1776617201.09359,1776617201.093626,1776617201.106196,11.9,0.04,12.57,24.5
steps-cloud-yolo-tailscale,19,000021.jpg,2,plastic_verpakking,0.961,1776617201.113597,1776617201.163001,49.4,489,1776617201.163717,1776617201.163945,1776617201.175009,1776617201.175037,1776617201.187563,11.29,0.03,12.53,23.85
steps-cloud-yolo-tailscale,20,000022.jpg,6,plastic_verpakking,0.9679,1776617201.195541,1776617201.22239,26.85,972,1776617201.223372,1776617201.223659,1776617201.235184,1776617201.235216,1776617201.24753,11.81,0.03,12.31,24.16
steps-cloud-yolo-tailscale,21,000023.jpg,1,plastic_verpakking,0.9498,1776617201.255505,1776617201.301842,46.34,373,1776617201.302226,1776617201.302454,1776617201.313476,1776617201.313501,1776617201.32598,11.25,0.02,12.48,23.75
steps-cloud-yolo-tailscale,22,000024.jpg,12,plastic_verpakking,0.9204,1776617201.334162,1776617201.387735,53.57,1673,1776617201.391693,1776617201.392025,1776617201.403374,1776617201.403414,1776617201.416029,11.68,0.04,12.62,24.34
steps-cloud-yolo-tailscale,23,000025.jpg,0,,,1776617201.423625,1776617201.452201,28.58,257,1776617201.452284,1776617201.452548,1776617201.464143,1776617201.464167,1776617201.476537,11.86,0.02,12.37,24.25
steps-cloud-yolo-tailscale,24,000026.jpg,2,plastic_verpakking,0.9372,1776617201.484234,1776617201.513941,29.71,494,1776617201.514302,1776617201.514556,1776617201.526016,1776617201.526045,1776617201.538521,11.71,0.03,12.48,24.22
steps-cloud-yolo-tailscale,25,000027.jpg,1,plastic_verpakking,0.9672,1776617201.546044,1776617201.59296,46.92,371,1776617201.593362,1776617201.593735,1776617201.605736,1776617201.605768,1776617201.618554,12.37,0.03,12.79,25.19
steps-cloud-yolo-tailscale,26,000028.jpg,5,plastic_verpakking,0.9386,1776617201.625252,1776617201.674411,49.16,842,1776617201.675996,1776617201.676307,1776617201.687961,1776617201.687999,1776617201.70075,11.97,0.04,12.75,24.75
