received_at,run_id,message_id,image_name,publisher_timestamp_sent,publisher_publish_started_at,detections_count,top_class,top_confidence,inference_ms,payload_size_bytes,ack_published_at
1776617198.624603,steps-cloud-yolo-tailscale,1,000000.jpg,1776617198.6129305,1776617198.6129262,4,metalen_verpakking,0.9391,1918.78,726,1776617198.624639
1776617198.824771,steps-cloud-yolo-tailscale,2,000001.jpg,1776617198.8131127,1776617198.813109,1,plastic_verpakking,0.9378,167.29,376,1776617198.824804
1776617198.978135,steps-cloud-yolo-tailscale,3,000002.jpg,1776617198.9662068,1776617198.9662035,1,plastic_verpakking,0.7975,120.43,377,1776617198.978164
1776617199.13192,steps-cloud-yolo-tailscale,4,000003.jpg,1776617199.119935,1776617199.119932,1,plastic_verpakking,0.935,121.05,372,1776617199.13195
1776617199.279378,steps-cloud-yolo-tailscale,5,000004.jpg,1776617199.2676544,1776617199.2676513,1,plastic_verpakking,0.8714,115.08,372,1776617199.279406
1776617199.432198,steps-cloud-yolo-tailscale,6,000005.jpg,1776617199.4203718,1776617199.420368,1,plastic_verpakking,0.9639,119.94,374,1776617199.432229
1776617199.594018,steps-cloud-yolo-tailscale,7,000006.jpg,1776617199.582168,1776617199.5821645,1,plastic_verpakking,0.8271,129.07,376,1776617199.59405
1776617199.752331,steps-cloud-yolo-tailscale,8,000007.jpg,1776617199.740416,1776617199.7404118,2,plastic_verpakking,0.9495,125.65,496,1776617199.752369
1776617199.907287,steps-cloud-yolo-tailscale,9,000009.jpg,1776617199.8954577,1776617199.8954544,0,,,122.55,258,1776617199.907312
1776617200.062464,steps-cloud-yolo-tailscale,10,000010.jpg,1776617200.0508769,1776617200.0508735,8,plastic_verpakking,0.8824,121.57,1210,1776617200.062513
1776617200.206717,steps-cloud-yolo-tailscale,11,000011.jpg,1776617200.1949625,1776617200.1949592,2,plastic_verpakking,0.931,111.21,495,1776617200.206747
1776617200.405538,steps-cloud-yolo-tailscale,12,000012.jpg,1776617200.3939118,1776617200.3939087,3,plastic_verpakking,0.9272,166.01,614,1776617200.405572
1776617200.557987,steps-cloud-yolo-tailscale,13,000013.jpg,1776617200.5461373,1776617200.546134,6,metalen_verpakking,0.9585,118.6,969,1776617200.558026
1776617200.673803,steps-cloud-yolo-tailscale,14,000014.jpg,1776617200.6621614,1776617200.6621583,1,plastic_verpakking,0.8622,83.3,376,1776617200.673833
1776617200.813461,steps-cloud-yolo-tailscale,15,000015.jpg,1776617200.8013318,1776617200.8013287,6,plastic_verpakking,0.9509,104.78,974,1776617200.813497
1776617200.94054,steps-cloud-yolo-tailscale,16,000017.jpg,1776617200.928905,1776617200.928902,3,plastic_verpakking,0.9515,89.0,613,1776617200.940569
1776617201.032498,steps-cloud-yolo-tailscale,17,000019.jpg,1776617201.0207283,1776617201.0207253,5,plastic_verpakking,0.9257,58.27,843,1776617201.032536
1776617201.09359,steps-cloud-yolo-tailscale,18,000020.jpg,1776617201.0816972,1776617201.0816944,3,metalen_verpakking,0.9745,28.62,612,1776617201.093626
1776617201.175009,steps-cloud-yolo-tailscale,19,000021.jpg,1776617201.1637194,1776617201.1637166,2,plastic_verpakking,0.961,49.4,489,1776617201.175037
